x,y,targets
RNA1{r(U)p.r(A)p.r(C)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(C)p.r(U)p.r(G)p.r(G)p.r(C)p.r(C)p.r(A)p.r(G)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(C)p.r(U)p.r(G)p.r(G)p.r(C)p.r(C)p.r(A)p.r(G)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(G)p.r(U)p.r(A)p.d(G)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,55.2,BD135193
RNA1{r(G)p.r(A)p.r(G)p.r(A)p.r(G)p.r(U)p.r(C)p.r(U)p.r(A)p.r(C)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(C)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(G)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(G)p.r(U)p.r(A)p.r(G)p.r(A)p.r(C)p.r(U)p.r(C)p.r(U)p.r(C)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,77.3,BD135193
RNA1{r(U)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(G)p.r(U)p.r(G)p.r(G)p.r(A)p.r(G)p.r(A)p.r(G)p.r(A)p.r(G)p.r(U)p.r(C)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(G)p.r(A)p.r(C)p.r(U)p.r(C)p.r(U)p.r(C)p.r(U)p.r(C)p.r(C)p.r(A)p.r(C)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(A)p.d(A)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,70.7,BD135193
RNA1{r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(C)p.r(A)p.r(C)p.r(C)p.r(U)p.r(U)p.r(C)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(G)p.r(A)p.r(A)p.r(G)p.r(G)p.r(U)p.r(G)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,51.8,BD135193
RNA1{r(U)p.r(G)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(G)p.r(A)p.r(G)p.r(C)p.r(U)p.r(U)p.r(U)p.r(G)p.r(U)p.r(A)p.r(G)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(C)p.r(U)p.r(A)p.r(C)p.r(A)p.r(A)p.r(A)p.r(G)p.r(C)p.r(U)p.r(C)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(C)p.r(A)p.d(A)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,75.3,BD135193
RNA1{r(A)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(A)p.r(C)p.r(U)p.r(G)p.r(U)p.r(C)p.r(U)p.r(U)p.r(G)p.r(U)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(A)p.r(C)p.r(A)p.r(G)p.r(U)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(U)p.d(A)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,81.7,BD135193
RNA1{r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(C)p.r(U)p.r(A)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(A)p.r(C)p.r(U)p.r(G)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(C)p.r(A)p.r(G)p.r(U)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(U)p.r(A)p.r(G)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.d(T)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,79.4,BD135193
RNA1{r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(U)p.r(C)p.r(A)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(C)p.r(U)p.r(A)p.r(G)p.r(G)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(C)p.r(C)p.r(U)p.r(A)p.r(G)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(U)p.r(G)p.r(A)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)p.d(A)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,75.3,BD135193
RNA1{r(U)p.r(G)p.r(C)p.r(U)p.r(C)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(U)p.r(C)p.r(A)p.r(C)p.r(A)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(U)p.r(G)p.r(U)p.r(G)p.r(A)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(G)p.r(A)p.r(G)p.r(C)p.r(A)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,83.6,BD135193
RNA1{r(A)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(C)p.r(A)p.r(U)p.r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(U)p.r(C)p.r(A)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(U)p.r(G)p.r(A)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)p.r(A)p.r(U)p.r(G)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(U)p.d(T)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,76,BD135193
RNA1{r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(A)p.r(C)p.r(A)p.r(G)p.r(C)p.r(C)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(G)p.r(G)p.r(C)p.r(U)p.r(G)p.r(U)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,42.3,BD135193
RNA1{r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(A)p.r(C)p.r(A)p.r(G)p.r(C)p.r(C)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(G)p.r(G)p.r(C)p.r(U)p.r(G)p.r(U)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.d(A)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,78.8,BD135193
RNA1{r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(A)p.r(C)p.r(A)p.r(G)p.r(C)p.r(C)p.r(U)p.r(U)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(A)p.r(A)p.r(G)p.r(G)p.r(C)p.r(U)p.r(G)p.r(U)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.d(G)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,87.1,BD135193
RNA1{r(A)p.r(C)p.r(A)p.r(C)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(U)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(C)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(G)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(A)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(G)p.r(U)p.r(G)p.r(U)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,76.1,BD135193
RNA1{r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(C)p.r(A)p.r(C)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(U)p.r(U)p.r(U)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(A)p.r(A)p.r(A)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(G)p.r(U)p.r(G)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.d(T)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,82.1,BD135193
RNA1{r(A)p.r(G)p.r(A)p.r(U)p.r(U)p.r(G)p.r(G)p.r(G)p.r(U)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(C)p.r(A)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(U)p.r(G)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(A)p.r(C)p.r(C)p.r(C)p.r(A)p.r(A)p.r(U)p.r(C)p.r(U)p.d(G)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,72,BD135193
RNA1{r(C)p.r(A)p.r(G)p.r(A)p.r(U)p.r(U)p.r(G)p.r(G)p.r(G)p.r(U)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(A)p.r(C)p.r(C)p.r(C)p.r(A)p.r(A)p.r(U)p.r(C)p.r(U)p.r(G)p.d(T)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,86.3,BD135193
RNA1{r(A)p.r(C)p.r(A)p.r(G)p.r(A)p.r(U)p.r(U)p.r(G)p.r(G)p.r(G)p.r(U)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(A)p.r(C)p.r(C)p.r(C)p.r(A)p.r(A)p.r(U)p.r(C)p.r(U)p.r(G)p.r(U)p.d(G)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,47.1,BD135193
RNA1{r(U)p.r(A)p.r(G)p.r(C)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(U)p.r(A)p.r(C)p.r(U)p.r(G)p.r(C)p.r(A)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(U)p.r(G)p.r(C)p.r(A)p.r(G)p.r(U)p.r(A)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(G)p.r(C)p.r(U)p.r(A)p.d(T)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,86.8,BD135193
RNA1{r(U)p.r(A)p.r(U)p.r(A)p.r(G)p.r(C)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(U)p.r(A)p.r(C)p.r(U)p.r(G)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(C)p.r(A)p.r(G)p.r(U)p.r(A)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(G)p.r(C)p.r(U)p.r(A)p.r(U)p.r(A)p.d(A)p.d(G)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,77.6,BD135193
